127.0.0.1 - - [06/Aug/2016:10:59:15 +0300] "GET /cargocpc/index.html HTTP/1.1" 200 124
192.168.0.68 - - [06/Aug/2016:11:01:53 +0300] "GET /jira HTTP/1.1" 302 -
192.168.0.68 - - [06/Aug/2016:11:01:58 +0300] "GET /jira HTTP/1.1" 302 -
192.168.0.68 - - [06/Aug/2016:11:02:04 +0300] "GET /jira/s/c9ff37db50df8cb108d30c4f3fbff554-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:groupbrowser/jira.webresources:groupbrowser.css HTTP/1.1" 200 192
192.168.0.68 - - [06/Aug/2016:11:02:04 +0300] "GET /jira/s/c9ff37db50df8cb108d30c4f3fbff554-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:group-pickers/jira.webresources:group-pickers.css HTTP/1.1" 200 244
192.168.0.68 - - [06/Aug/2016:11:02:09 +0300] "GET /jira/s/58b38232522127935aa51019fd9b5888-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:calendar/jira.webresources:calendar.css HTTP/1.1" 200 865
192.168.0.68 - - [06/Aug/2016:11:02:09 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/86e1ac508b14797a5ad844df9941e144/_/download/contextbatch/js/jira.dashboard,-_super/batch.js HTTP/1.1" 200 420
192.168.0.68 - - [06/Aug/2016:11:02:10 +0300] "GET /jira/s/a64178202ff52ca3c122a5f17b984f42-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/9296915968fd19e3630cf5546b9a3e64/_/download/contextbatch/js/atl.global,-_super/batch.js?locale=ru-RU HTTP/1.1" 200 939
192.168.0.68 - - [06/Aug/2016:11:02:10 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:calendar/jira.webresources:calendar.js HTTP/1.1" 200 20416
192.168.0.68 - - [06/Aug/2016:11:02:10 +0300] "GET /jira/s/a64178202ff52ca3c122a5f17b984f42-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:group-label-lozenge/jira.webresources:group-label-lozenge.js?locale=ru-RU HTTP/1.1" 200 598
192.168.0.68 - - [06/Aug/2016:11:02:10 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:groupbrowser/jira.webresources:groupbrowser.js HTTP/1.1" 200 256
192.168.0.68 - - [06/Aug/2016:11:02:11 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:group-pickers/jira.webresources:group-pickers.js?locale=ru-RU HTTP/1.1" 200 1743
