127.0.0.1 - - [06/Aug/2016:14:09:48 +0300] "GET /cargocpc/index.html HTTP/1.1" 200 124
192.168.0.68 - - [06/Aug/2016:14:10:39 +0300] "GET /jira HTTP/1.1" 302 -
192.168.0.68 - - [06/Aug/2016:14:10:47 +0300] "GET /jira HTTP/1.1" 302 -
192.168.0.68 - - [06/Aug/2016:14:10:57 +0300] "GET /jira/s/c9ff37db50df8cb108d30c4f3fbff554-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:groupbrowser/jira.webresources:groupbrowser.css HTTP/1.1" 200 192
192.168.0.68 - - [06/Aug/2016:14:10:57 +0300] "GET /jira/s/c9ff37db50df8cb108d30c4f3fbff554-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:group-pickers/jira.webresources:group-pickers.css HTTP/1.1" 200 244
192.168.0.68 - - [06/Aug/2016:14:10:57 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/86e1ac508b14797a5ad844df9941e144/_/download/contextbatch/js/jira.dashboard,-_super/batch.js HTTP/1.1" 200 420
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:calendar/jira.webresources:calendar.js HTTP/1.1" 200 20416
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/a64178202ff52ca3c122a5f17b984f42-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:group-label-lozenge/jira.webresources:group-label-lozenge.js?locale=ru-RU HTTP/1.1" 200 598
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:groupbrowser/jira.webresources:groupbrowser.js HTTP/1.1" 200 256
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:ie-imitation-placeholder/jira.webresources:ie-imitation-placeholder.js HTTP/1.1" 200 502
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/d7524864c6fe6f78f131fa739d936a67-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:group-pickers/jira.webresources:group-pickers.js?locale=ru-RU HTTP/1.1" 200 1743
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/ac923b854532b68eb674ff801754d76c-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:jira-project-issuetype-fields/jira.webresources:jira-project-issuetype-fields.js?locale=ru-RU HTTP/1.1" 200 1811
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:calendar-ru/jira.webresources:calendar-ru.js HTTP/1.1" 200 2115
192.168.0.68 - - [06/Aug/2016:14:10:58 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:calendar-localisation-moment/jira.webresources:calendar-localisation-moment.js HTTP/1.1" 200 558
192.168.0.68 - - [06/Aug/2016:14:10:59 +0300] "GET /jira/s/d7524864c6fe6f78f131fa739d936a67-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:jira-fields/jira.webresources:jira-fields.js?locale=ru-RU HTTP/1.1" 200 8709
192.168.0.68 - - [06/Aug/2016:14:11:03 +0300] "GET /jira/s/58b38232522127935aa51019fd9b5888-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/1.0/_/download/batch/jira.webresources:calendar/jira.webresources:calendar.css HTTP/1.1" 200 865
192.168.0.68 - - [06/Aug/2016:14:11:08 +0300] "GET /jira/s/a6cc25dcace753dd9342a20af5b1f2fb-CDN/ru_RU-y15nid/71013/b6b48b2829824b869586ac216d119363/2d6498981aceacf4ab2243a9ca8a1797/_/download/contextbatch/css/atl.dashboard,atl.general,jira.global,jira.general,-_super/batch.css?devtoolbar=false&is-server-instance=true&is-system-admin=true&nps-acknowledged=true&nps-not-opted-out=true HTTP/1.1" 200 69115
192.168.0.68 - - [06/Aug/2016:14:11:10 +0300] "GET /jira/rest/gadgets/1.0/g/messagebundle/und/gadget.common%2Cgadget.issuetable%2Cgadget.assignedtome%2Cgadget.issuetable.common HTTP/1.1" 200 2825
